id,appointment_date,status,created_at,updated_at,count
1.0,2025-09-29 15:58,Present,2025-09-22 10:28,2025-09-22 10:28,32.0
2.0,2025-09-01 06:05,Absent,2025-09-22 10:41,2025-09-22 10:41,1.0
4.0,2025-08-13 06:05,Absent,2025-09-22 11:54,2025-09-22 11:54,42.0
,2025-08-25,,2025-07-18,,
,2025-07-03,,2025-06-06,,
,2025-06-19,,2025-04-17,,
,2025-05-16,,2025-02-21,,
,2024-12-21,,2024-10-24,,
,2025-08-21,,2025-05-27,,
,2025-10-01,,2025-09-06,,
,2025-03-31,,2025-01-31,,
,2025-12-11,,2025-09-29,,
,2025-02-17,,2024-12-17,,
